Resource Title,Listing Description (HTML),Categories (Slug-Based),Email,Fax,Mobile Phone,Phone,Website,Facebook,Twitter,Times Accessed (As of 3.14.2023)
The Parents' Place of Maryland,A Center for Families of Children with Special Needs,disabled-populations,,,,(410) 768-9100,http://www.ppmd.org,https://www.facebook.com/The-Parents-Place-of-Maryland-96206668666/,,2324
The Jackson Center,The Jackson Center for adolescent residential treatment.,drug-abuse,,,,301-777-2285,http://www.alleganyhealthdept.com/addictions/jacksonupdate-OLD.html,,,408
The Massie Unit,The Massie Unit for adult residential treatment.,addiction-treatment,,,,,http://www.alleganyhealthdept.com/addictions/massieupdate.html,,,2787
The Oakland Community Center,"The Oakland Community Center is available to rent for a variety of purposes and occasions. We offer a small kitchen space, a conference room equipped with a big screen TV and a newly remodeled gym with new flooring and basketball hoops. We rent tables, chairs. a floor covering and a stage. We can also clean-up after your event for an additional fee. Rentals can be for hours, half days or full days. Spaces can be rented seperately or as a whole. For pricing or to reserve a space please call 301-334-2691.",education,,,,301-334-2691,http://www.oaklandmd.com/oakland-community-center-the-armory.html,,,6476
The Olympic Center,"The Olympic Center for adolescent residential treatment in Kingwood, WV.",drug-abuse,,,,304-329-2400,,,,1810
Garrett College,"Garrett College, located in the mountains of western Maryland between Pennsylvania and West Virginia, is an affordable, public two-year college with many special features. Garrett offers associate degrees for transfer or career advancement, credit-bearing certificates in specialty fields, and an array of non-credit continuing education and workforce training programs. Serving both traditional age and adult students, Garrett is noted for its small size and personal relationships. The people who teach and learn at the college are relaxed, informal, and friendly, reflecting the small communities that surround the campus.
Garrett has earned a reputation for academic excellence. Graduates who transfer to a four-year Maryland college or university frequently outperform their counterparts from the state’s other fifteen community colleges. The College has transfer agreements with a number of regional institutions including Bucknell University, a highly selective institution in Pennsylvania noted for its business and engineering programs that awards scholarships each year to several Garrett graduates. Garrett also partners with regional businesses and other organizations to offer students meaningful work experience as part of their program of study, especially valuable to those preparing for career entry or advancement. Students in workforce training programs, as well as the employers who hire them, have a high degree of satisfaction with their experience.

Our signature programs—Adventure Sports Management, Natural Resources and Wildlife Technology, Robotics, and Engineering—attract students from throughout the state of Maryland, from other states, and from around the world. The College manages two residence halls and offers a rich social and extra-curricular life. A competitive intercollegiate athletic program within the NJCAA includes men’s and women’s basketball; men’s baseball; women’s volleyball and softball; and golf. Students can also participate in a variety of recreational sports, including skiing at the nearby Wisp Four Seasons Resort, boating on twelve-mile long Deep Creek Lake; biking or hiking on the 150 miles of forest trails in several state parks; rock climbing; or white-watering on some of the best canoe, kayak and rafting rivers in the United States and at the Adventure Sports Center International (ASCI) with its world-class competition course.

With its variety of opportunities and its commitment to student learning and achievement, Garrett College may be the place for you. I encourage you to call or visit and take the first step on your journey to a brighter future!

Experience. Explore. Excel. #garrettcollege

For more information, telephone 301-387-3044 or email admissions@garrettcollege.edu.",education,admissions@garrettcollege.edu,,,(301) 387-3000,http://www.garrettcollege.edu,https://www.facebook.com/GarrettMaryland/,,2283
Northern Garrett High School,Lowest grade taught: 9th Grade - Highest grade taught: 12th Grade,education,,,,(301) 746-8668,https://garrettcountyschools.org,https://www.facebook.com/pages/Northern-Garrett-High-School/1508900109363118,,4175
Southern Garrett High School,"Southern Garrett High School is a public high school in Oakland, Maryland, that houses over 800 students from the Southern Garrett County vicinity. The school mascot is a Ram and the school colors are red and white.",education,,,,(301) 334-9447,https://garrettcountyschools.org,https://www.facebook.com/pages/Southern-Garrett-High-School,,3138
Accident Elementary,Lowest grade taught: Prekindergarten - Highest grade taught: 5th Grade,education,,,,(301) 746-8863,http://www.garrettcountyschools.org/,https://www.facebook.com/pages/Accident-Elementary/1566728050212704,,1997
Northern Middle School,Northern Middle School is situated in northern Garrett County adjacent to farmland with a student population of 322 students. We are a Blue Ribbon School!,education,karen.devore@garrettcountyschools.org,,,301-746-8165 / 301-895-5075,http://www.garrettcountyschools.org/northern-middle,https://www.facebook.com/Northern-Middle-School-Garrett-County-Md-215612818616798/,,3094
Southern Middle School,Lowest grade taught: 6th Grade - Highest grade taught: 8th Grade,education,,,,(301) 334-8881,http://www.garrettcountyschools.org,https://www.facebook.com/pages/Southern-Middle-School/403849813100604,,2689
Broad Ford Elementary,Lowest grade taught: Prekindergarten - Highest grade taught: 5th Grade,education,,,,(301) 334-9445,http://garrettcountyschools.org/broadford,https://www.facebook.com/pages/Broad-Ford-Elementary/660840344029227,,2706
Friendsville Elementary School,Friendsville Elementary School,education,,,,301-746-8662,,,,3821
Crellin Elementary,Lowest grade taught: Prekindergarten - Highest grade taught: 5th Grade,education,,,,(301) 334-4704,,https://www.facebook.com/pages/Crellin-Elementary/471108099694563,,2041
Grantsville Elementary School,Grantsville Elementary School,education,,,,301-895-5173,,,,3769
Yough Glades Elementary School,Yough Glades Elementary School,education,,,,301-334-3334,,,,2844
Garrett County Judy Center,"Garrett County Judy Center is part of a statewide effort to promote school readiness and is operated through a collaboration between  Garrett  County Public Schools and Garrett County Community Action, Inc.  The Judy Center's services supports their  mission of ""Supporting Teachers, Children, and Families in Achieving School Readiness""  Garrett County Judy Center links with five Title I  schools: Broad Ford, Crellin, Friendsville, Grantsville, and Yough Glades Elementary Schools.
The Garrett Count Judy Center services and programs follow the twelve components established by the Maryland State Department of Education and  are designed to support young children's physical, social and emotional, language and literacy, and scientific, social studies, and mathematical  thinking, while supporting families in their ability to support their children's early learning.  The Judy Center brings together the resources of schools and community agencies through its partnerships.",education;children,,,,(301) 334-4211,https://sites.google.com/a/garrettcountyschools.org/garrett-county-judy-center/,https://www.facebook.com/Garrett-County-Judy-Center-487073324775088/,,3942
Hickory Environmental Education Center,Hickory Environmental Education Center,education,,,,301-746-8461,,,,2839
Area Agency on Aging,Area Agency on Aging,aging-populations;wellness-programs;community-action;food,,,,301.334.9431,http://www.garrettcac.org/index.php/aging-and-nutrition-services,,,6702
Route 40 Elementary School,Route 40 Elementary School,education,,,,301-689-6132,,,,3466
Swan Meadow School,Swan Meadow School,education,,,,301-334-2059,,,,2826
Maryland Salem Children's Trust,"The Maryland Salem Children's Trust, founded and functioning on Christian principles, provides a home, family, therapy and educational services for children in need.",youth-services,info@mdsalem.org,,,(301) 689-8176,http://www.mdsalem.org,https://www.facebook.com/Maryland-Salem-Childrens-Trust-116695298345026/,,2666
"Garrett County Sheriff's Office,  Sheriff Rob Corley","This page was created to inform the public of employment postings, press releases, news events and other general information regarding the Garrett County Sheriff's Office.",police,gcso@garrettcounty.org,,,(301) 334-1911,http://www.garrettcounty.org/sheriffs-office,https://www.facebook.com/Garrett-County-Sheriffs-Office-Sheriff-Rob-Corley-264700807059603/,,5908
Garrett County Airport,"Garrett County Airport is a public airport located 13 miles (21 km) northeast of the central business district (CBD) of Oakland, a town in Garrett County, Maryland, USA. Garrett County Airport covers 200acre and has one runway: Runway 9/27: 5,000 x 75 ft (1,524 x 23 m), Surface: Asphalt",clubs-and-organizations;transportation,,,,(301) 387-4386,,https://www.facebook.com/pages/Garrett-County-Airport/111099475609413,,3929
